ticker,source,category,tco2e,year,reference
DVN,GHGRP,fugitive,4366295.996,2023.0,EPA GHGRP 2023 data summary spreadsheets
DVN,Wikirate/GRI,scope2,570000.0,,Wikirate GRI 305-1 / 305-2
FANG,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
FANG,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
FANG,GHGRP,fugitive,1757044.196,2023.0,EPA GHGRP 2023 data summary spreadsheets
D,GHGRP,combustion,28387484.264,2023.0,EPA GHGRP 2023 data summary spreadsheets
D,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
D,GHGRP,fugitive,1167450.7372,2023.0,EPA GHGRP 2023 data summary spreadsheets
D,Wikirate/GRI,scope2,10898034.0,,Wikirate GRI 305-1 / 305-2
DOW,GHGRP,combustion,13490574.914,2023.0,EPA GHGRP 2023 data summary spreadsheets
DOW,GHGRP,process,2639039.196,2023.0,EPA GHGRP 2023 data summary spreadsheets
DOW,GHGRP,fugitive,218836.0524,2023.0,EPA GHGRP 2023 data summary spreadsheets
DOW,Wikirate/GRI,scope2,3940000.0,,Wikirate GRI 305-1 / 305-2
DTE,GHGRP,combustion,22637116.812,2023.0,EPA GHGRP 2023 data summary spreadsheets
DTE,GHGRP,process,208651.44,2023.0,EPA GHGRP 2023 data summary spreadsheets
DTE,GHGRP,fugitive,343319.898,2023.0,EPA GHGRP 2023 data summary spreadsheets
DUK,GHGRP,combustion,73268493.18,2023.0,EPA GHGRP 2023 data summary spreadsheets
DUK,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DUK,GHGRP,fugitive,473091.0412,2023.0,EPA GHGRP 2023 data summary spreadsheets
DUK,Wikirate/GRI,scope2,4400.0,,Wikirate GRI 305-1 / 305-2
DD,GHGRP,combustion,180836.708,2023.0,EPA GHGRP 2023 data summary spreadsheets
DD,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DD,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EBAY,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
EBAY,Wikirate/GRI,combustion,5133.0,,Wikirate GRI 305-1 / 305-2
EBAY,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
EBAY,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
EBAY,Wikirate/GRI,scope2,38478.0,,Wikirate GRI 305-1 / 305-2
ECL,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
ECL,Wikirate/GRI,combustion,244121.74068570757,,Wikirate GRI 305-1 / 305-2
ECL,Wikirate/GRI,process,55397.25931429244,,Wikirate GRI 305-1 / 305-2
ECL,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
ECL,Wikirate/GRI,scope2,257103.0,,Wikirate GRI 305-1 / 305-2
EIX,GHGRP,combustion,1056295.2359999998,2023.0,EPA GHGRP 2023 data summary spreadsheets
EIX,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EIX,GHGRP,fugitive,45490.8108,2023.0,EPA GHGRP 2023 data summary spreadsheets
ETR,GHGRP,combustion,35764226.074,2023.0,EPA GHGRP 2023 data summary spreadsheets
ETR,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ETR,GHGRP,fugitive,112080.6468,2023.0,EPA GHGRP 2023 data summary spreadsheets
EOG,GHGRP,combustion,265985.996,2023.0,EPA GHGRP 2023 data summary spreadsheets
EOG,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EOG,GHGRP,fugitive,5275357.594,2023.0,EPA GHGRP 2023 data summary spreadsheets
EOG,Wikirate/GRI,scope2,400000.0,,Wikirate GRI 305-1 / 305-2
EQT,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EQT,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EQT,GHGRP,fugitive,420523.02,2023.0,EPA GHGRP 2023 data summary spreadsheets
EVRG,GHGRP,combustion,23649072.274,2023.0,EPA GHGRP 2023 data summary spreadsheets
EVRG,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EVRG,GHGRP,fugitive,65439.3972,2023.0,EPA GHGRP 2023 data summary spreadsheets
ES,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ES,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ES,GHGRP,fugitive,206262.3,2023.0,EPA GHGRP 2023 data summary spreadsheets
EXC,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EXC,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
EXC,GHGRP,fugitive,301249.6376,2023.0,EPA GHGRP 2023 data summary spreadsheets
EXC,Wikirate/GRI,scope2,4868000.0,,Wikirate GRI 305-1 / 305-2
EXE,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
EXE,Wikirate/GRI,combustion,983587.9963871639,,Wikirate GRI 305-1 / 305-2
EXE,Wikirate/GRI,process,288.70003490669745,,Wikirate GRI 305-1 / 305-2
EXE,Wikirate/GRI,fugitive,696123.3035779295,,Wikirate GRI 305-1 / 305-2
EXE,Wikirate/GRI,scope2,53000.0,,Wikirate GRI 305-1 / 305-2
XOM,GHGRP,combustion,23647628.922,2023.0,EPA GHGRP 2023 data summary spreadsheets
XOM,GHGRP,process,5768007.958000001,2023.0,EPA GHGRP 2023 data summary spreadsheets
XOM,GHGRP,fugitive,7382071.507999999,2023.0,EPA GHGRP 2023 data summary spreadsheets
