ticker,year,total,reported_total,combustion,process,fugitive
ETR,2023,35876306.7208,35902705.3948,35764226.074,0.0,112080.64679999999
EVRG,2023,23714511.6712,23714511.6712,23649072.274,0.0,65439.3972
EXC,2023,301249.6376,301249.6376,0.0,0.0,301249.6376
F,2023,497625.124,497625.124,497625.124,0.0,0.0
FANG,2023,1757044.196,1757044.196,0.0,0.0,1757044.196
FCX,2023,260273.666,260273.666,260273.666,0.0,0.0
FE,2023,15338451.138,15338451.138,15258135.972000001,0.0,80315.166
GIS,2023,70688.598,70688.598,70688.598,0.0,0.0
GLW,2023,177760.332,177760.332,177405.932,354.4,0.0
GM,2023,572170.952,572170.952,558676.202,0.0,13494.75
HAL,2023,53414.518,53414.518,53414.518,0.0,0.0
HII,2023,49706.725999999995,49706.726,49672.026,34.7,0.0
HRL,2023,58585.68,58585.68,58585.68,0.0,0.0
HWM,2023,124137.59400000001,124137.59400000001,123294.59400000001,0.0,843.0
IFF,2023,307088.216,307088.216,307088.216,0.0,0.0
INTC,2023,790767.5444783,790767.5444783,210589.756,580177.7884783,0.0
IP,2023,5404387.698,5404387.698,3126090.566,1387863.882,890433.25
KMB,2023,1030421.2660000001,1030421.2660000001,1030421.2660000001,0.0,0.0
KMI,2023,10954471.118800301,11037015.4108003,7636793.772,3305.648,3314371.6988003002
L,2023,2049069.3429698,2049069.3429698,1682203.016,0.0,366866.3269698
LIN,2023,8787322.32,8787322.32,219435.52000000002,8567886.8,0.0
LMT,2023,95794.13399999999,95794.13399999999,95794.13399999999,0.0,0.0
LNT,2023,13682648.068,13682648.068,13637785.468,0.0,44862.600000000006
LYB,2023,8041139.808,8041139.808,6678716.312,1362423.496,0.0
MCHP,2023,472938.201976,472938.201976,35880.216,437057.98597599997,0.0
MGM,2023,110103.336,110103.336,110103.336,0.0,0.0
MLM,2023,3999044.162,3999044.162,573438.742,3425605.42,0.0
MMM,2023,1007143.688924,1007143.688924,400170.606,606973.082924,0.0
MO,2023,66467.196,66467.196,66467.196,0.0,0.0
MPC,2023,28802529.0256,28802529.0256,20175014.894,8274011.95,353502.1816
MRK,2023,365529.704,365529.704,365529.704,0.0,0.0
MU,2023,303884.3484487,303884.3484487,89146.564,214737.7844487,0.0
NEE,2023,40964268.725600004,40964268.7256,40497897.718,0.0,466371.0076
NI,2023,5027591.002,5027591.002,4456754.266000001,0.0,570836.736
NOC,2023,110192.27799999999,110192.27799999999,110192.27799999999,0.0,0.0
NRG,2023,22878264.124,22878264.124,22878264.124,0.0,0.0
NUE,2023,5761770.626,5761770.626,2019446.266,3702734.86,39589.5
NXPI,2023,77528.052339,77528.052339,8099.12,69428.932339,0.0
OKE,2023,3658438.9625607,3658438.9625607,2021410.988,5964.794,1631063.1805607
OXY,2023,11368494.466,11368494.466,7246175.43,437025.06200000003,3685293.9740000004
PCG,2023,671189.702906,671189.702906,322375.688,0.0,348814.014906
PEG,2023,463035.342,463035.342,131.3,0.0,462904.042
PEP,2023,317942.602,317942.602,317942.602,0.0,0.0
PFE,2023,225796.41,225796.41,225796.41,0.0,0.0
PG,2023,1676103.744,1676103.744,1663971.994,0.0,12131.75
PKG,2023,1498344.226,1498344.226,1118727.436,245930.53999999998,133686.25
PNW,2023,13249517.3844,13249517.384399999,13239664.866,0.0,9852.5184
PPG,2023,198602.998,198602.998,168784.698,29818.3,0.0
PPL,2023,26919146.4032,26919146.4032,26771409.22,0.0,147737.1832
PSX,2023,31935651.417999998,31935651.418,18080429.512,8453960.228,5401261.677999999
QCOM,2023,48566.816,48566.816,48566.816,0.0,0.0
RSG,2023,10721712.294,10721712.294,6818.294,0.0,10714894.0
RTX,2023,154646.258,154646.258,154646.258,0.0,0.0
SO,2023,76213907.5824,76213907.5824,75753644.338,0.0,460263.2444
SRE,2023,5364571.221,5364571.221,3823267.528,0.0,1541303.693
STLD,2023,2569896.58,2569896.58,935188.18,1634708.4000000001,0.0
SWKS,2023,24116.71997,24116.71997,4053.384,20063.33597,0.0
TAP,2023,339474.436,339474.436,339474.436,0.0,0.0
TMO,2023,28392.342,28392.342,28392.342,0.0,0.0
TRGP,2023,8947299.642836707,8947299.642836707,2824318.080649854,0.0,6122981.562186852
TSLA,2023,80515.196,80515.196,80515.196,0.0,0.0
TSN,2023,1874907.486,1874907.486,1131168.736,0.0,743738.75
TXN,2023,1057774.3353829999,1057774.335383,98603.226,959171.109383,0.0
TXT,2023,55579.572,55579.572,55579.572,0.0,0.0
VLO,2023,23500507.983999997,23500507.984,13654098.522,9846409.462,0.0
VST,2023,86320993.138,86320993.138,86320993.138,0.0,0.0
VTRS,2023,26031.806,26031.806,26031.806,0.0,0.0
WAB,2023,35202.768,35202.768,35202.768,0.0,0.0
WEC,2023,19610165.207999997,19610165.208,19285988.33,0.0,324176.878
WM,2023,11650459.606,11650459.606,176183.606,0.0,11474276.0
WY,2023,41144.524,41144.524,41144.524,0.0,0.0
XEL,2023,39257530.1988,39257530.1988,38878344.107999995,0.0,379186.0908
XOM,2023,36797708.388,36797708.388000004,23647628.922,5768007.958000001,7382071.507999999
ABBV,2019,154325.934,154325.934,154325.934,0.0,0.0
ABT,2019,113542.67199999999,113542.67199999999,113542.67199999999,0.0,0.0
ADI,2019,51711.290576,51711.290576,7210.224,44501.066576,0.0
ADM,2019,12388842.804,12388842.804,12371948.054,0.0,16894.75
AEE,2019,24314880.235999998,24314880.236,24205850.4,0.0,109029.83600000001
AEP,2019,68476324.3072,68476324.3072,68064437.542,0.0,411886.7652
AES,2019,19545270.540000003,19545270.54,19539249.060000002,0.0,6021.48
ALB,2019,242638.72,242638.72,242638.72,0.0,0.0
AMGN,2019,35993.516,35993.516,35993.516,0.0,0.0
APD,2019,12683847.954,12683847.954,877381.592,11806466.362,0.0
ATO,2019,936696.8127040999,936696.8127040999,147640.74,0.0,789056.0727040999
AVGO,2019,182824.213364,182824.213364,14411.244,168412.969364,0.0
BA,2019,174933.376,174933.376,174933.376,0.0,0.0
BIIB,2019,29570.338,29570.338,29570.338,0.0,0.0
BMY,2019,84259.166,84259.166,84259.166,0.0,0.0
BRK-B,2019,74385465.60520001,74385465.6052,73907729.602,41151.9,436584.1032
CAT,2019,596462.326,596462.326,435867.076,0.0,160595.25
CF,2019,20066538.552,20066538.552,5634199.408,14432339.144000001,0.0
CMS,2019,17398208.505999997,17398208.506,17147552.378,0.0,250656.12800000003
CNP,2019,434033.35,434033.35,0.0,0.0,434033.35
COP,2019,6986497.298,6986497.298,1362711.456,160.0,5623625.842
CTVA,2019,117616.756,117616.756,117616.756,0.0,0.0
CVX,2019,23469682.098,23469682.098,14148986.874,5171160.6899999995,4149534.5340000005
D,2019,36441494.053052396,36468893.6530524,34528558.496,0.0,1912935.5570524
DAL,2019,1501649.668,1501649.668,1040839.416,460810.252,0.0
DD,2019,1116804.632,1116804.632,1116804.632,0.0,0.0
DE,2019,63353.212,63353.212,63353.212,0.0,0.0
DOW,2019,16036628.1,16036628.1,13466122.435999999,2326730.614,243775.05
DTE,2019,30560857.888,30560857.888,29108753.358,149367.64,1302736.8900000001
DUK,2019,87141176.104,87141176.104,86415252.304,0.0,725923.7999999999
DVN,2019,2886541.298,2886541.298,0.0,0.0,2886541.298
ED,2019,2815752.338,2815752.338,2512922.072,0.0,302830.266
EIX,2019,1289269.4964,1289269.4964,1216417.044,0.0,72852.4524
EOG,2019,5406619.796,5406619.796,308267.84,0.0,5098351.956
EQT,2019,744654.218,744654.218,0.0,0.0,744654.218
ES,2019,153537.4,153537.4,0.0,0.0,153537.4
ETR,2019,34799005.934,34799005.934,34586527.004,0.0,212478.93
EVRG,2019,27620948.733999997,27620948.734,27562234.174,0.0,58714.56
EXC,2019,8591208.66,8591208.66,8198994.272,0.0,392214.388
F,2019,633370.062,633370.062,633370.062,0.0,0.0
FANG,2019,1852946.158,1852946.158,0.0,0.0,1852946.158
FCX,2019,692295.516,692295.516,225179.76599999997,463203.452,3912.298
FE,2019,27852434.6272,27852434.6272,27737732.638,0.0,114701.9892
GIS,2019,69235.988,69235.988,69235.988,0.0,0.0
GLW,2019,172206.34999999998,172206.35,171939.94999999998,266.4,0.0
GM,2019,676788.7559999999,676788.7559999999,661156.7559999999,0.0,15632.0
HAL,2019,79441.89600000001,79441.89600000001,79441.89600000001,0.0,0.0
HII,2019,55379.852,55379.852,55338.952,40.9,0.0
HRL,2019,61277.02,61277.02,61277.02,0.0,0.0
IFF,2019,36254.368,36254.368,36254.368,0.0,0.0
INTC,2019,779424.5337050001,779424.5337050001,169491.11200000002,609933.421705,0.0
IP,2019,5875082.74,5875082.74,3296458.254,1454304.236,1124320.25
KHC,2019,46697.524,46697.524,46697.524,0.0,0.0
KMB,2019,1111952.05,1111952.05,1111952.05,0.0,0.0
KMI,2019,10459825.623718701,10578570.5457187,7255478.984,2077.07,3202269.5697187
L,2019,3296116.144,3296116.144,1385228.784,0.0,1910887.3599999999
LMT,2019,114740.70999999999,114740.70999999999,114740.70999999999,0.0,0.0
LNT,2019,8280847.83,8280847.83,8237868.43,0.0,42979.4
LYB,2019,8031832.626,8031832.626,6595000.4459999995,1436832.1800000002,0.0
MCHP,2019,408359.47061099997,408359.470611,32074.924,376284.54661099997,0.0
MGM,2019,138028.88,138028.88,138028.88,0.0,0.0
MLM,2019,3939577.874,3939577.8740000003,621472.8559999999,3318105.018,0.0
MMM,2019,1212019.355115,1212019.355115,444353.64400000003,767665.711115,0.0
MO,2019,87832.068,87832.068,87832.068,0.0,0.0
MPC,2019,32034893.93,32034893.93,22218153.45,9386207.87,430532.61
MRK,2019,368932.926,368932.926,368932.926,0.0,0.0
MU,2019,649697.873023,649697.8730230001,123321.034,526376.839023,0.0
NEE,2019,40716480.07,40716480.07,40072678.806,0.0,643801.264
NEM,2019,1083096.978,1083096.978,1083096.978,0.0,0.0
NI,2019,9977356.6686687,9977356.6686687,9246535.118,0.0,730821.5506687
NOC,2019,112717.91,112717.91,112717.91,0.0,0.0
NRG,2019,33951764.514,33951764.514,33951764.514,0.0,0.0
NUE,2019,5755877.984,5755877.984,1749774.608,3969969.876,36133.5
NXPI,2019,72079.054845,72079.054845,7659.572,64419.482845,0.0
OKE,2019,3781719.7623525998,3781719.7623526,1735897.76,0.0,2045822.0023526
OXY,2019,12687355.9,12687355.9,7044697.448,382430.95,5260227.502
PEG,2019,9210590.258,9210590.258,8597221.558,0.0,613368.7
PEP,2019,404761.99199999997,404761.99199999997,403151.49199999997,0.0,1610.5
PFE,2019,252419.188,252419.188,252419.188,0.0,0.0
PG,2019,1775259.6940000001,1775259.6940000001,1761572.9440000001,0.0,13686.75
PKG,2019,1609839.682,1609839.682,1229321.168,292536.764,87981.75
PNW,2019,12945950.474000001,12945950.474,12936711.914,0.0,9238.56
PPG,2019,145589.982,145589.982,121716.182,23873.8,0.0
PPL,2019,28493455.24,28493455.24,28455340.83,0.0,38114.409999999996
PSX,2019,27738438.994000003,27738438.994000003,17460896.052,10228760.556,48782.386
QCOM,2019,62144.22,62144.22,62144.22,0.0,0.0
RSG,2019,10311009.668,10311009.668,7571.418,0.0,10303438.25
SO,2019,86254380.185534,86254380.185534,85736545.528,0.0,517834.657534
SRE,2019,3527378.6180000002,3527378.6180000002,1643602.6400000001,0.0,1883775.9780000001
STLD,2019,2196271.98,2196271.98,868189.58,1328082.4,0.0
SWKS,2019,33708.065182,33708.065182,3984.536,29723.529182,0.0
TAP,2019,30167.336,30167.336,30167.336,0.0,0.0
TRGP,2019,7520618.363977799,7520618.363977799,2249196.0927893072,1827.43,5269594.841188492
TSLA,2019,23612.812,23612.812,23612.812,0.0,0.0
TSN,2019,1835359.778,1835359.778,1171017.778,0.0,664342.0
TXN,2019,967875.1092430999,967875.1092431,65164.96,902710.1492431,0.0
TXT,2019,66576.724,66576.724,66576.724,0.0,0.0
VLO,2019,23485398.144,23485398.143999998,13252911.632,10232486.512,0.0
VST,2019,101753690.274,101753690.274,101753690.274,0.0,0.0
WAB,2019,59700.076,59700.076,59700.076,0.0,0.0
WEC,2019,22179427.93,22179427.93,21803918.908,0.0,375509.022
WM,2019,12714723.367773,12714723.367773,128382.867773,0.0,12586340.5
WY,2019,35995.442,35995.442,35995.442,0.0,0.0
XEL,2019,46975695.578,46975695.578,46638923.996,0.0,336771.582
XOM,2019,38362883.7343,38362883.7343,21340507.856,6801721.162,10220654.7163
