ticker,cik,adsh,period,status,filing_url
F,37996,0000037996-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/37996/000003799626000015/
FTV,1659166,0001659166-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1659166/000165916626000007/
FCX,831259,0000831259-26-000012,20251231,tagged,https://www.sec.gov/Archives/edgar/data/831259/000083125926000012/
GRMN,1121788,0001193125-26-056028,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1121788/000119312526056028/
GE,40545,0000040545-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/40545/000004054526000008/
GEV,1996810,0001996810-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/
GNRC,1474735,0001437749-26-004568,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1474735/000143774926004568/
GD,40533,0000040533-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/40533/000004053326000006/
GIS,40704,0001193125-25-147079,20250531,tagged,https://www.sec.gov/Archives/edgar/data/40704/000119312525147079/
GM,1467858,0001467858-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1467858/000146785826000013/
GPC,40987,0000040987-26-000003,20251231,tagged,https://www.sec.gov/Archives/edgar/data/40987/000004098726000003/
HAL,45012,0000045012-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/
HAS,46080,0000046080-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/46080/000004608026000011/
HSY,47111,0001628280-26-008586,20251231,tagged,https://www.sec.gov/Archives/edgar/data/47111/000162828026008586/
HLT,1585689,0001585689-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1585689/000158568926000007/
HD,354950,0001628280-26-019436,20260131,tagged,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/
HONA,2089271,,,no-10k,
HON,773840,0000773840-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/773840/000077384026000013/
HRL,48465,0000048465-25-000059,20251031,tagged,https://www.sec.gov/Archives/edgar/data/48465/000004846525000059/
HWM,4281,0000004281-26-000012,20251231,tagged,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/
HUBB,48898,0001628280-26-007500,20251231,tagged,https://www.sec.gov/Archives/edgar/data/48898/000162828026007500/
HII,1501585,0001501585-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000006/
IEX,832101,0000832101-26-000003,20251231,tagged,https://www.sec.gov/Archives/edgar/data/832101/000083210126000003/
ITW,49826,0000049826-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/
IR,1699150,0001628280-26-008617,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1699150/000162828026008617/
IFF,51253,0000051253-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/51253/000005125326000006/
IP,51434,0000051434-26-000055,20251231,tagged,https://www.sec.gov/Archives/edgar/data/51434/000005143426000055/
JBHT,728535,0001437749-26-005294,20251231,tagged,https://www.sec.gov/Archives/edgar/data/728535/000143774926005294/
J,52988,0001628280-25-053316,20250930,tagged,https://www.sec.gov/Archives/edgar/data/52988/000162828025053316/
JCI,833444,0000833444-25-000097,20250930,tagged,https://www.sec.gov/Archives/edgar/data/833444/000083344425000097/
KVUE,1944048,0001944048-26-000030,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1944048/000194404826000030/
KDP,1418135,0001418135-26-000016,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1418135/000141813526000016/
KMB,55785,0001628280-26-007567,20251231,tagged,https://www.sec.gov/Archives/edgar/data/55785/000162828026007567/
KMI,1506307,0001506307-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1506307/000150630726000011/
KHC,1637459,0001637459-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1637459/000163745926000009/
KR,56873,0001104659-26-037723,20260131,tagged,https://www.sec.gov/Archives/edgar/data/56873/000110465926037723/
LHX,202058,0000202058-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/202058/000020205826000015/
LVS,1300514,0001300514-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1300514/000130051426000013/
LDOS,1336920,0001336920-26-000030,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000030/
LEN,920760,0001628280-26-003870,20251130,tagged,https://www.sec.gov/Archives/edgar/data/920760/000162828026003870/
LII,1069202,0001069202-26-000028,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000028/
LIN,1707925,0001628280-26-011430,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1707925/000162828026011430/
