ticker,segment,revenue,share,class,fiscal_year,filing_url,method
PSX,MarketingSpecialitySegment,85897000000.0,0.6245964340769611,exposed,2025,https://www.sec.gov/Archives/edgar/data/1534701/000153470126000006/,xbrl
PPG,PerformanceCoatings,5513000000.0,0.3472755905511811,neutral,2025,https://www.sec.gov/Archives/edgar/data/79879/000007987926000046/,xbrl
PPG,IndustrialCoatings,6524000000.0,0.41096062992125987,neutral,2025,https://www.sec.gov/Archives/edgar/data/79879/000007987926000046/,xbrl
PPG,GlobalArchitecturalCoatings,3838000000.0,0.24176377952755906,neutral,2025,https://www.sec.gov/Archives/edgar/data/79879/000007987926000046/,xbrl
PPL,PennsylvaniaRegulated,3113000000.0,0.3443203185488331,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/,xbrl
PPL,RhodeIslandRegulated,2168000000.0,0.23979648268996792,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/,xbrl
PPL,KentuckyRegulated,3760000000.0,0.415883198761199,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/,xbrl
PG,GroomingSegment,6662000000.0,0.07979494304638934,neutral,2025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/,xbrl
PG,BeautySegment,14964000000.0,0.17923319239660315,neutral,2025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/,xbrl
PG,BabyFeminineFamilyCareSegment,20248000000.0,0.24252296709746193,neutral,2025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/,xbrl
PG,HealthCareSegment,11998000000.0,0.14370755428858892,neutral,2025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/,xbrl
PG,FabricHomeCareSegment,29617000000.0,0.3547413431709567,neutral,2025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/,xbrl
PEG,PublicServiceElectricandGasCompany,9558000000.0,0.7197289156626506,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/788784/000119312526077446/,xbrl
PEG,PSEGPowerOther,3722000000.0,0.2802710843373494,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/788784/000119312526077446/,xbrl
PHM,FinancialServices,388667000.0,0.02245078877004807,neutral,2025,https://www.sec.gov/Archives/edgar/data/822416/000082241626000007/,xbrl
PHM,HomeBuildingSegment,16923286000.0,0.977549211229952,neutral,2025,https://www.sec.gov/Archives/edgar/data/822416/000082241626000007/,xbrl
PWR,UndergroundAndInfrastructure,5478229000.0,0.1923555928281119,exposed,2025,https://www.sec.gov/Archives/edgar/data/1050915/000105091526000006/,xbrl
PWR,ElectricPower,23001468000.0,0.8076444071718881,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1050915/000105091526000006/,xbrl
RL,AsiaSegment,2103500000.0,0.2592273091379629,neutral,2026,https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/,xbrl
RL,EuropeSegment,2538900000.0,0.3128843428430587,neutral,2026,https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/,xbrl
RL,NorthAmericaSegment,3329600000.0,0.41032719206358986,neutral,2026,https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/,xbrl
RL,OtherNonReportableSegmentRelated,142500000.0,0.017561155955388503,neutral,2026,https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/,xbrl
RTX,Service,24432000000.0,0.27574687087344674,exposed,2025,https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/,xbrl
RTX,Product,64171000000.0,0.7242531291265533,exposed,2025,https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/,xbrl
RSG,OtherServiceLine,824000000.0,0.028700801114594218,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,OtherServiceLineSaleOfRecycledCommodities,433000000.0,0.015081853012887496,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,TransferServiceLine,848000000.0,0.029536746778126087,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,CollectionServiceLineLargecontainer,3098000000.0,0.10790665273423894,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,EnvironmentalSolutionsServiceLine,1828000000.0,0.06367119470567746,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,LandfillServiceLine,1920000000.0,0.06687565308254964,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
