ticker,adsh,ddate,axis,tag,member,revenue,filing_url
BF-B,0000014693-26-000024,20260430,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Whiskey,2901000000.0,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
BLDR,0001193125-26-054643,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,SpecialtyBuildingProductsAndServices,4068074000.0,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/
BLDR,0001193125-26-054643,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,LumberAndLumberSheetGoods,3875868000.0,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/
BLDR,0001193125-26-054643,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,WindowsDoorsAndMillwork,3836204000.0,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/
BLDR,0001193125-26-054643,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,ManufacturedProducts,3410492000.0,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,MillingProducts,1545000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,SoftseedProcessingAndRefining,11252000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,GrainMerchandising,16583000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,SoybeanProcessingAndRefining,36313000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,OtherProducts,3000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
BG,0001628280-26-009842,20251231,ProductOrService,Revenues,OtherOilseedsProcessingAndRefining,4633000000.0,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
CHRW,0001043277-26-000009,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Sourcing,1408959000.0,https://www.sec.gov/Archives/edgar/data/1043277/000104327726000009/
CHRW,0001043277-26-000009,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,TransportationCustomersFreight,14823804000.0,https://www.sec.gov/Archives/edgar/data/1043277/000104327726000009/
CCL,0000815097-26-000007,20251130,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,CruisePassengerTicket,17419000000.0,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/
CCL,0000815097-26-000007,20251130,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,CruiseOnboardAndOther,9202000000.0,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/
CARR,0001783180-26-000008,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Service,2574000000.0,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/
CARR,0001783180-26-000008,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Product,19173000000.0,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/
CVNA,0001690820-26-000009,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,UsedVehicleSales,14537000000.0,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000009/
CVNA,0001690820-26-000009,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,WholesaleSalesAndRevenues,4052000000.0,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000009/
CVNA,0001690820-26-000009,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,ProductAndServiceOther,1733000000.0,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000009/
CASY,0000726958-26-000046,20260430,BusinessSegments,Revenues,ReportableSegment,17561101000.0,https://www.sec.gov/Archives/edgar/data/726958/000072695826000046/
CAT,0000018230-26-000008,20251231,ProductOrService,Revenues,MachineryPowerEnergy,63980000000.0,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/
CAT,0000018230-26-000008,20251231,ProductOrService,Revenues,FinancialProducts,3609000000.0,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,EnergyProductsOrServices,216000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,WholesaleElectricSales,19000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,RetailGasSales,4266000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,ElectricDelivery,4109000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,RetailElectricSales,736000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CNP,0001130310-26-000008,20251231,ProductOrService,Revenues,GasTransportationandProcessing,11000000.0,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CF,0001324404-26-000007,20251231,BusinessSegments,Revenues,Urea,1781000000.0,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CF,0001324404-26-000007,20251231,BusinessSegments,Revenues,Ammonia,2176000000.0,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CF,0001324404-26-000007,20251231,BusinessSegments,Revenues,OtherProducts,545000000.0,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CF,0001324404-26-000007,20251231,BusinessSegments,Revenues,AmmoniumNitrateSegment,421000000.0,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CF,0001324404-26-000007,20251231,BusinessSegments,Revenues,UAN,2161000000.0,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CMG,0001058090-26-000009,20251231,ProductOrService,Revenues,DeliveryService,59550000.0,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000009/
CMG,0001058090-26-000009,20251231,ProductOrService,Revenues,FoodAndBeverage,11866051000.0,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000009/
CHD,0001193125-26-048139,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,SpecialtyProductsDivision,299000000.0,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/
CHD,0001193125-26-048139,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ConsolidatingReclassification,0.0,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/
CHD,0001193125-26-048139,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ConsumerDomestic,4774800000.0,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/
CHD,0001193125-26-048139,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ConsumerInternational,1129400000.0,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/
CTAS,0000723254-25-000017,20250531,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,UniformRentalAndFacilityServicesSegment,7976073000.0,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/
CTAS,0000723254-25-000017,20250531,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,OtherProductsAndServices,2364108000.0,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/
CLX,0000021076-25-000039,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,Lifestyle,1303000000.0,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/
CLX,0000021076-25-000039,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,International,1065000000.0,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/
